mean,std,min,max,milisec,filename,algorithm
18430.0,0.0,18430.0,18430.0,0.0,data/FIS5-0.txt,CheapestInsertion
22351.0,0.0,22351.0,22351.0,0.0,data/FIS5-1.txt,CheapestInsertion
15356.0,0.0,15356.0,15356.0,0.0,data/FIS5-2.txt,CheapestInsertion
21245.0,0.0,21245.0,21245.0,0.0,data/FIS5-3.txt,CheapestInsertion
19418.0,0.0,19418.0,19418.0,0.0,data/FIS5-4.txt,CheapestInsertion
19486.0,0.0,19486.0,19486.0,0.0,data/FIS6-0.txt,CheapestInsertion
19436.0,0.0,19436.0,19436.0,0.0,data/FIS6-1.txt,CheapestInsertion
23991.0,0.0,23991.0,23991.0,0.0,data/FIS6-2.txt,CheapestInsertion
13819.0,0.0,13819.0,13819.0,0.0,data/FIS6-3.txt,CheapestInsertion
16139.0,0.0,16139.0,16139.0,0.0,data/FIS6-4.txt,CheapestInsertion
16586.0,0.0,16586.0,16586.0,0.0,data/FIS7-0.txt,CheapestInsertion
21536.0,0.0,21536.0,21536.0,0.0,data/FIS7-1.txt,CheapestInsertion
8243.0,0.0,8243.0,8243.0,0.0,data/FIS7-2.txt,CheapestInsertion
21768.0,0.0,21768.0,21768.0,0.0,data/FIS7-3.txt,CheapestInsertion
26358.0,0.0,26358.0,26358.0,0.0,data/FIS7-4.txt,CheapestInsertion
23441.0,0.0,23441.0,23441.0,0.0,data/FIS8-0.txt,CheapestInsertion
18639.0,0.0,18639.0,18639.0,0.0,data/FIS8-1.txt,CheapestInsertion
12652.0,0.0,12652.0,12652.0,0.0,data/FIS8-2.txt,CheapestInsertion
24650.0,0.0,24650.0,24650.0,0.0,data/FIS8-3.txt,CheapestInsertion
22001.0,0.0,22001.0,22001.0,0.0,data/FIS8-4.txt,CheapestInsertion
19211.0,0.0,19211.0,19211.0,0.0,data/FIS9-0.txt,CheapestInsertion
27944.0,0.0,27944.0,27944.0,0.0,data/FIS9-1.txt,CheapestInsertion
31295.0,0.0,31295.0,31295.0,0.0,data/FIS9-2.txt,CheapestInsertion
21011.0,0.0,21011.0,21011.0,0.0,data/FIS9-3.txt,CheapestInsertion
28346.0,0.0,28346.0,28346.0,0.0,data/FIS9-4.txt,CheapestInsertion
25286.0,0.0,25286.0,25286.0,0.0,data/FIS10-0.txt,CheapestInsertion
29813.0,0.0,29813.0,29813.0,0.0,data/FIS10-1.txt,CheapestInsertion
29446.0,0.0,29446.0,29446.0,0.0,data/FIS10-2.txt,CheapestInsertion
21471.0,0.0,21471.0,21471.0,0.0,data/FIS10-3.txt,CheapestInsertion
22816.0,0.0,22816.0,22816.0,0.0,data/FIS10-4.txt,CheapestInsertion
25573.0,0.0,25573.0,25573.0,0.0,data/FIS11-0.txt,CheapestInsertion
30513.0,0.0,30513.0,30513.0,0.0,data/FIS11-1.txt,CheapestInsertion
25264.0,0.0,25264.0,25264.0,0.0,data/FIS11-2.txt,CheapestInsertion
27097.0,0.0,27097.0,27097.0,0.0,data/FIS11-3.txt,CheapestInsertion
26188.0,0.0,26188.0,26188.0,0.0,data/FIS11-4.txt,CheapestInsertion
25686.0,0.0,25686.0,25686.0,0.0,data/FIS12-0.txt,CheapestInsertion
26706.0,0.0,26706.0,26706.0,0.0,data/FIS12-1.txt,CheapestInsertion
28677.0,0.0,28677.0,28677.0,0.0,data/FIS12-2.txt,CheapestInsertion
24393.0,0.0,24393.0,24393.0,0.0,data/FIS12-3.txt,CheapestInsertion
29995.0,0.0,29995.0,29995.0,0.0,data/FIS12-4.txt,CheapestInsertion
27614.0,0.0,27614.0,27614.0,0.0,data/FIS13-0.txt,CheapestInsertion
35369.0,0.0,35369.0,35369.0,0.0,data/FIS13-1.txt,CheapestInsertion
25825.0,0.0,25825.0,25825.0,0.0,data/FIS13-2.txt,CheapestInsertion
20346.0,0.0,20346.0,20346.0,0.0,data/FIS13-3.txt,CheapestInsertion
