algorithm;filename;num_vertex;min_path;milisec;cost
BruteForce;data/FIS5-0.txt;5;0,2,1,4,3;0;18430
BruteForce;data/FIS5-1.txt;5;0,1,3,2,4;0;22351
BruteForce;data/FIS5-2.txt;5;0,1,4,2,3;0;15356
BruteForce;data/FIS5-3.txt;5;0,1,4,2,3;0;21245
BruteForce;data/FIS5-4.txt;5;0,1,4,3,2;0;19418
BruteForce;data/FIS6-0.txt;6;0,1,2,5,3,4;0;15576
BruteForce;data/FIS6-1.txt;6;0,1,3,2,4,5;0;19436
BruteForce;data/FIS6-2.txt;6;0,1,4,5,3,2;0;23991
BruteForce;data/FIS6-3.txt;6;0,2,4,1,3,5;0;13819
BruteForce;data/FIS6-4.txt;6;0,4,2,1,3,5;0;16139
BruteForce;data/FIS7-0.txt;7;0,5,2,4,1,3,6;1;16355
BruteForce;data/FIS7-1.txt;7;0,2,6,1,4,5,3;1;20251
BruteForce;data/FIS7-2.txt;7;0,2,1,3,4,6,5;1;8243
BruteForce;data/FIS7-3.txt;7;0,2,5,4,6,1,3;1;19494
BruteForce;data/FIS7-4.txt;7;0,1,3,4,6,2,5;1;24395
BruteForce;data/FIS8-0.txt;8;0,3,5,2,1,6,4,7;15;19668
BruteForce;data/FIS8-1.txt;8;0,3,6,5,4,2,1,7;15;17845
BruteForce;data/FIS8-2.txt;8;0,3,1,6,5,7,2,4;15;12652
BruteForce;data/FIS8-3.txt;8;0,3,4,1,2,5,7,6;16;15018
BruteForce;data/FIS8-4.txt;8;0,5,6,4,2,1,3,7;15;19030
BruteForce;data/FIS9-0.txt;9;0,4,5,6,1,3,2,7,8;151;19211
BruteForce;data/FIS9-1.txt;9;0,3,2,5,4,8,7,1,6;151;25376
BruteForce;data/FIS9-2.txt;9;0,2,3,4,6,8,1,5,7;153;29033
BruteForce;data/FIS9-3.txt;9;0,1,3,5,6,4,8,2,7;153;17895
BruteForce;data/FIS9-4.txt;9;0,1,4,7,2,6,3,8,5;153;18675
BruteForce;data/FIS10-0.txt;10;0,1,7,6,8,2,4,5,9,3;1542;17971
BruteForce;data/FIS10-1.txt;10;0,3,8,6,9,1,7,5,2,4;1596;19192
