algorithm;filename;num_vertex;min_path;milisec;cost
NearestNeighborhood;data/FIS5-0.txt;5;2,0,1,4,3;0;21698
NearestNeighborhood;data/FIS5-1.txt;5;2,0,1,3,4;0;23340
NearestNeighborhood;data/FIS5-2.txt;5;3,2,4,1,0;0;15356
NearestNeighborhood;data/FIS5-3.txt;5;1,4,2,3,0;0;21245
NearestNeighborhood;data/FIS5-4.txt;5;2,3,0,1,4;0;31708
NearestNeighborhood;data/FIS6-0.txt;6;5,0,4,2,3,1;0;27344
NearestNeighborhood;data/FIS6-1.txt;6;5,0,1,3,2,4;0;19436
NearestNeighborhood;data/FIS6-2.txt;6;2,3,0,1,4,5;0;38845
NearestNeighborhood;data/FIS6-3.txt;6;2,4,1,3,5,0;0;13819
NearestNeighborhood;data/FIS6-4.txt;6;5,4,0,3,1,2;0;26389
NearestNeighborhood;data/FIS7-0.txt;7;3,1,4,2,5,0,6;0;16355
NearestNeighborhood;data/FIS7-1.txt;7;1,4,2,0,6,5,3;0;33316
NearestNeighborhood;data/FIS7-2.txt;7;5,3,4,2,1,6,0;0;24549
NearestNeighborhood;data/FIS7-3.txt;7;2,5,3,4,0,6,1;0;19671
NearestNeighborhood;data/FIS7-4.txt;7;1,3,4,6,2,5,0;0;24395
NearestNeighborhood;data/FIS8-0.txt;8;7,5,3,2,6,1,4,0;0;22621
NearestNeighborhood;data/FIS8-1.txt;8;7,3,0,2,6,5,1,4;0;28483
NearestNeighborhood;data/FIS8-2.txt;8;3,1,6,5,7,2,4,0;0;12652
NearestNeighborhood;data/FIS8-3.txt;8;4,1,2,5,7,0,6,3;0;20744
NearestNeighborhood;data/FIS8-4.txt;8;7,3,2,4,1,6,0,5;0;28698
NearestNeighborhood;data/FIS9-0.txt;9;4,0,6,1,3,2,7,8,5;0;26007
NearestNeighborhood;data/FIS9-1.txt;9;3,0,6,7,2,5,4,1,8;0;35108
NearestNeighborhood;data/FIS9-2.txt;9;1,4,8,7,0,5,2,6,3;0;46473
NearestNeighborhood;data/FIS9-3.txt;9;7,0,3,5,8,2,1,6,4;0;32846
NearestNeighborhood;data/FIS9-4.txt;9;5,8,3,6,7,2,4,0,1;0;39557
NearestNeighborhood;data/FIS10-0.txt;10;1,7,8,2,4,5,9,3,0,6;0;28735
NearestNeighborhood;data/FIS10-1.txt;10;3,2,4,9,6,8,7,0,5,1;0;39216
NearestNeighborhood;data/FIS10-2.txt;10;3,0,4,8,2,9,7,5,6,1;0;32486
NearestNeighborhood;data/FIS10-3.txt;10;1,7,6,3,4,2,0,8,9,5;0;22676
NearestNeighborhood;data/FIS10-4.txt;10;7,1,2,8,3,5,6,0,4,9;0;19300
NearestNeighborhood;data/FIS11-0.txt;11;4,0,2,8,3,7,10,6,1,5,9;0;36612
NearestNeighborhood;data/FIS11-1.txt;11;5,1,2,4,9,3,7,0,10,6,8;0;34347
NearestNeighborhood;data/FIS11-2.txt;11;10,0,9,8,4,7,3,5,1,2,6;0;38760
NearestNeighborhood;data/FIS11-3.txt;11;10,2,5,9,0,3,4,6,7,8,1;0;43997
NearestNeighborhood;data/FIS11-4.txt;11;4,0,9,6,10,7,5,3,2,8,1;0;37613
NearestNeighborhood;data/FIS12-0.txt;12;4,6,11,9,1,10,3,2,8,7,5,0;0;39817
NearestNeighborhood;data/FIS12-1.txt;12;3,0,1,2,10,6,5,7,4,11,8,9;0;49933
NearestNeighborhood;data/FIS12-2.txt;12;9,0,3,1,7,8,10,4,11,6,2,5;0;50571
NearestNeighborhood;data/FIS12-3.txt;12;3,11,2,0,10,7,5,9,4,6,8,1;0;43618
NearestNeighborhood;data/FIS12-4.txt;12;4,5,9,3,7,10,6,8,2,0,11,1;0;32679
NearestNeighborhood;data/FIS13-0.txt;13;1,9,8,4,12,2,0,5,6,7,10,3,11;0;52934
NearestNeighborhood;data/FIS13-1.txt;13;2,9,8,11,7,10,5,12,3,6,1,0,4;0;48092
NearestNeighborhood;data/FIS13-2.txt;13;6,8,4,3,0,11,2,7,10,9,1,12,5;0;52516
NearestNeighborhood;data/FIS13-3.txt;13;8,0,4,12,1,2,7,11,6,5,9,3,10;0;37414
NearestNeighborhood;data/FIS13-4.txt;13;3,1,4,10,8,2,6,11,7,9,5,12,0;0;32230
NearestNeighborhood;data/FIS14-0.txt;14;3,7,10,13,1,6,9,8,5,0,4,12,2,11;0;41416
NearestNeighborhood;data/FIS14-1.txt;14;12,0,13,4,2,5,3,9,1,10,6,8,11,7;0;47143
